lat_grid,lon_grid,fire_count,mean_frp,max_frp,mean_bright,mean_risk,high_conf_pct,norm_count,composite_risk,risk_zone
24.5,94.0,447,31.898501118568234,371.78,340.0480984340045,49.036485633513735,8.053691275167784,2.798297233003631,24.933838132405832,Low
23.5,87.0,3863,2.2957261195961687,32.5,311.2465337820347,45.47167705626698,0.18120631633445508,24.18304745210968,24.828106170719696,Low
25.0,70.5,4,5.6575,7.13,353.78,53.00952666238956,50.0,0.025040691123075,24.623824447484747,Low
25.0,84.0,2898,5.377708764665287,87.89,332.80856452726016,47.487403600473264,4.623878536922015,18.141980718667835,24.441890666225156,Low
24.0,92.5,856,25.321390186915888,483.71,340.83125,48.843212522615424,7.009345794392523,5.358707900338049,24.423595259669664,Low
22.5,93.0,168,29.142142857142858,195.57,340.1507738095238,48.940836188002734,14.285714285714285,1.0517090271691498,24.39497985672782,Low
25.5,76.5,2596,7.2330893682588595,91.48,339.4047534668721,47.81790070830623,5.469953775038521,16.251408538875673,24.328665567966258,Low
25.5,78.0,2712,6.0823783185840705,265.43,335.5914859882006,47.69073384663279,3.8348082595870205,16.97758858144485,24.15885517553119,Low
24.5,94.5,94,36.623936170212765,242.78,331.33106382978724,47.58034038679195,4.25531914893617,0.5884562413922624,24.157713806906298,Low
21.0,81.5,3351,3.0145210384959715,72.1,320.04974037600715,46.07555405016552,0.7460459564309161,20.97783898835608,24.109018183615436,Low
22.0,82.5,3470,2.5448760806916426,39.86,316.6430893371758,45.64566011988856,0.345821325648415,21.72279954926756,24.091132195801098,Low
24.0,93.5,972,22.808713991769547,388.12,340.3681378600823,48.579398266947294,6.584362139917696,6.0848879429072245,24.07137859550923,Low
21.5,92.5,2,35.230000000000004,65.7,345.41499999999996,49.61262832483766,0.0,0.0125203455615375,23.98030933157302,Low
21.0,72.5,2903,5.097554254219773,50.97,325.9014261109197,46.80646397892901,1.8601446779193935,18.17328158257168,23.885567967490253,Low
17.5,81.5,2969,5.065981812057932,72.67,328.2516167059616,46.31339552313157,1.751431458403503,18.586452986102415,23.840807572739642,Low
25.0,93.0,1277,17.667588097102584,336.98,339.86570869224744,48.59798933231583,5.951448707909162,7.994240641041693,23.718048058690165,Low
27.5,94.5,95,32.07,420.46,337.2261052631579,48.64474087982749,4.2105263157894735,0.5947164141730312,23.673342361250377,Low
25.0,90.5,254,27.443425196850395,179.32,340.935,49.01960407980607,7.874015748031496,1.5900838863152622,23.65101677230751,Low
31.0,74.5,2215,7.338559819413092,86.23,342.40667720090295,47.44049194175973,6.320541760722348,13.86628270940278,23.46663057775235,Low
31.5,74.5,2273,7.341843378794544,75.77,342.84900131984165,46.969559900989815,5.807303123625164,14.229372730687368,23.37817822285746,Low
29.0,79.5,2832,4.114064265536723,78.11,323.33803672316384,46.42212975991222,1.518361581920904,17.7288093151371,23.376738802998908,Low
25.5,90.0,225,29.694444444444443,256.9,342.03555555555556,48.69174072981298,2.666666666666667,1.4085388756729684,23.374430895967528,Low
21.5,82.5,2368,5.581849662162162,104.32,338.8174366554054,47.936122676269584,2.5760135135135136,14.824089144860398,23.271204292941274,Low
28.5,94.0,64,23.83890625,94.89,337.825625,49.13796636989564,14.0625,0.4006510579692,23.218541365798224,Low
22.5,86.0,3067,2.6603488751222693,89.07,314.3947310074992,45.50190086594657,0.48907727420932506,19.199949918617754,23.19381511031419,Low
21.5,83.0,2833,3.431118955171197,28.73,323.7904129897635,46.41921835634184,0.7059654076950229,17.73506948791787,23.16850497881676,Low
22.0,83.5,2622,4.572200610221205,38.13,325.1379748283753,46.59427661560739,1.8306636155606408,16.41417303117566,23.094074765393103,Low
22.0,87.0,2939,2.714028581150051,27.64,318.52482477033004,45.86151894548879,0.5103776794828173,18.398647802679356,23.051429645798024,Low
26.0,95.0,149,23.90765100671141,267.62,340.90234899328857,49.00862467174956,10.06711409395973,0.9327657443345436,22.97287444115675,Low
22.0,93.0,153,17.94078431372549,63.31,345.25686274509803,49.828002728233244,18.30065359477124,0.9578064354576187,22.971991169746573,Low
25.5,78.5,2120,6.621391509433963,80.09,336.95652830188675,47.4316579116239,4.622641509433962,13.271566295229748,22.95100909454498,Low
27.0,83.0,2113,6.896672976810223,140.33,329.7853478466635,47.069446096303594,5.158542356838618,13.227745085764367,22.91414885905123,Low
